source,channel
google_ads,Paid Search
google_search,Paid Search
adwords,Paid Search
bing_ads,Paid Search
facebook,Facebook
facebook_ads,Facebook
instagram,Instagram
instagram_ads,Instagram
youtube,Youtube
youtube_ads,Youtube
linkedin,LinkedIn
linkedin_ads,LinkedIn
twitter,Twitter
twitter_ads,Twitter
tiktok,TikTok
organic_search,Organic Search
organic,Organic Search
seo,Organic Search
referral,Referral
direct,Direct
email,Email Marketing
email_campaign,Email Marketing
newsletter,Email Marketing
event,Event Promotion
tradeshow,Event Promotion
conference,Event Promotion
webinar,Webinar
yelp,Yelp
reviews,Review Sites
partnership,Business Development
affiliate,Affiliate Marketing
influencer,Influencer
podcast,Podcast
radio,Broadcast Media
tv,Broadcast Media
print,Print Media
billboard,Outdoor Advertising
display,Display Advertising
retargeting,Display Advertising
banner,Display Advertising
